state_ut,year,domestic_tourist_visits,foreign_tourist_visits,data_status
Andaman & Nicobar Islands,2020,191207,5412,official
Andaman & Nicobar Islands,2021,126238,1687,official
Andaman & Nicobar Islands,2022,235061,4461,official
Andaman & Nicobar Islands,2023,323189,9025,official
Andaman & Nicobar Islands,2024,710000,11497,official
Andhra Pradesh,2020,70828590,67591,official
Andhra Pradesh,2021,93277569,27551,official
Andhra Pradesh,2022,192716721,165845,official
Andhra Pradesh,2023,254706328,60426,official
Andhra Pradesh,2024,290266000,262431,official
Arunachal Pradesh,2020,42871,961,official
Arunachal Pradesh,2021,102915,182,official
Arunachal Pradesh,2022,222437,1055,official
Arunachal Pradesh,2023,1040601,4496,official
Arunachal Pradesh,2024,870000,4714,official
Assam,2020,1266898,7285,official
Assam,2021,1409161,536,official
Assam,2022,8382003,9001,official
Assam,2023,7612720,23818,official
Assam,2024,7608000,27170,official
Bihar,2020,5638024,308080,official
Bihar,2021,2501193,1046,official
Bihar,2022,25330364,86829,official
Bihar,2023,81585701,546576,official
Bihar,2024,65463000,736720,official
Chandigarh,2020,417953,12218,official
Chandigarh,2021,228809,5451,official
Chandigarh,2022,3027165,28439,official
Chandigarh,2023,365591,31498,official
Chandigarh,2024,999000,39058,official
Chhattisgarh,2020,2810227,2322,official
Chhattisgarh,2021,4747417,8,official
Chhattisgarh,2022,23636291,238,official
Chhattisgarh,2023,26022069,953,official
Chhattisgarh,2024,31488000,3485,official
Dadra & Nagar Haveli and Daman & Diu,2020,402395,1604,official
Dadra & Nagar Haveli and Daman & Diu,2021,661222,185,official
Dadra & Nagar Haveli and Daman & Diu,2022,799602,1791,official
Dadra & Nagar Haveli and Daman & Diu,2023,1004327,4048,official
Dadra & Nagar Haveli and Daman & Diu,2024,1359000,2626,official
Delhi,2020,9583671,681230,official
Delhi,2021,10642477,100178,official
Delhi,2022,27186209,815713,official
Delhi,2023,39414622,1828116,official
Delhi,2024,46257000,1999410,official
Goa,2020,3258715,302751,official
Goa,2021,3308089,22128,official
Goa,2022,7011992,174799,official
Goa,2023,8175460,452692,official
Goa,2024,9941000,467911,official
Gujarat,2020,19464517,210047,official
Gujarat,2021,24525210,11319,official
Gujarat,2022,135811325,1777215,official
Gujarat,2023,178066579,2806871,official
Gujarat,2024,184014000,2274477,official
Haryana,2020,2114731,17474,official
Haryana,2021,2025450,4578,official
Haryana,2022,2108496,2439,official
Haryana,2023,2012162,1346,official
Haryana,2024,1892000,543,official
Himachal Pradesh,2020,3170714,42665,official
Himachal Pradesh,2021,5632270,4932,official
Himachal Pradesh,2022,15070944,29333,official
Himachal Pradesh,2023,15942118,62806,official
Himachal Pradesh,2024,18042000,82765,official
Jammu & Kashmir,2020,2519524,5317,official
Jammu & Kashmir,2021,11314920,1650,official
Jammu & Kashmir,2022,18499332,19985,official
Jammu & Kashmir,2023,20679336,55337,official
Jammu & Kashmir,2024,23013000,65452,official
Jharkhand,2020,2574704,490,official
Jharkhand,2021,3383642,1637,official
Jharkhand,2022,38284379,192319,official
Jharkhand,2023,35776102,189261,official
Jharkhand,2024,54041000,45273,official
Karnataka,2020,77453339,165325,official
Karnataka,2021,81333659,72487,official
Karnataka,2022,182413203,128520,official
Karnataka,2023,284120502,409333,official
Karnataka,2024,304564000,485204,official
Kerala,2020,4988972,340755,official
Kerala,2021,7537617,60487,official
Kerala,2022,18867414,345549,official
Kerala,2023,21871641,649057,official
Kerala,2024,22247000,738374,official
Lakshadweep,2020,3462,413,official
Lakshadweep,2021,13500,4,official
Lakshadweep,2022,22844,125,official
Lakshadweep,2023,45796,755,official
Lakshadweep,2024,67000,898,official
Ladakh,2020,6743,1126,official
Ladakh,2021,303023,1054,official
Ladakh,2022,510137,21259,official
Ladakh,2023,759369,36315,official
Ladakh,2024,337000,39704,official
Madhya Pradesh,2020,23519632,99819,official
Madhya Pradesh,2021,25554067,41601,official
Madhya Pradesh,2022,35848781,204454,official
Madhya Pradesh,2023,111946409,182685,official
Madhya Pradesh,2024,133176000,167535,official
Maharashtra,2020,39234591,1262409,official
Maharashtra,2021,43569238,185643,official
Maharashtra,2022,111297624,1511623,official
Maharashtra,2023,161359527,3387739,official
Maharashtra,2024,189372000,3705170,official
Manipur,2020,49669,3139,official
Manipur,2021,49371,648,official
Manipur,2022,139518,3908,official
Manipur,2023,57701,3668,official
Manipur,2024,29000,2518,official
Meghalaya,2020,24734,2311,official
Meghalaya,2021,154409,411,official
Meghalaya,2022,937091,7774,official
Meghalaya,2023,1371674,20023,official
