id,city_name,district,state
1,Baratang,Baratang,Andaman And Nicobar Islands
2,Port Blair,Nicobar,Andaman And Nicobar Islands
3,Shaheed Dweep,Shaheed Dweep,Andaman And Nicobar Islands
4,South Andaman,South Andaman,Andaman And Nicobar Islands
5,Sri Vijaya Puram,Sri Vijaya Puram,Andaman And Nicobar Islands
6,Swaraj Dweep,Swaraj Dweep,Andaman And Nicobar Islands
7,Anantapur,Anantapur,Andhra Pradesh
8,Annavaram,Annavaram,Andhra Pradesh
9,Araku,Araku,Andhra Pradesh
10,Chittoor,Chittoor,Andhra Pradesh
11,Eluru,Eluru,Andhra Pradesh
12,Guntur,Guntur,Andhra Pradesh
13,Kadapa,Kadapa,Andhra Pradesh
14,Kakinada,Kakinada,Andhra Pradesh
15,Konaseema,Konaseema,Andhra Pradesh
16,Kurnool,Kurnool,Andhra Pradesh
17,NTR,NTR,Andhra Pradesh
18,Nandyal,Nandyal,Andhra Pradesh
19,Nellore,Nellore,Andhra Pradesh
20,Palnadu,Palnadu,Andhra Pradesh
21,Rajamahendravaram,Rajamahendravaram,Andhra Pradesh
22,Srikakulam,Srikakulam,Andhra Pradesh
23,Srisailam,Srisailam,Andhra Pradesh
24,Tirupati,Tirupati,Andhra Pradesh
25,Vijayawada,Vijayawada,Andhra Pradesh
26,Visakhapatnam,Visakhapatnam,Andhra Pradesh
27,Changlang,Changlang,Arunachal Pradesh
28,Chhattisgarh,Chhattisgarh,Arunachal Pradesh
29,East Kameng,East Kameng,Arunachal Pradesh
30,East Siang,East Siang,Arunachal Pradesh
31,Itanagar,Itanagar,Arunachal Pradesh
32,Lohit,Lohit,Arunachal Pradesh
33,Lower Subansiri,Lower Subansiri,Arunachal Pradesh
34,Namsai,Namsai,Arunachal Pradesh
35,Naharlagun,Papum Pare,Arunachal Pradesh
36,Shi-Yomi,Shi-Yomi,Arunachal Pradesh
37,Tawang,Tawang,Arunachal Pradesh
38,Upper Siang,Upper Siang,Arunachal Pradesh
39,Upper Subansiri,Upper Subansiri,Arunachal Pradesh
40,Bomdila,West Kameng,Arunachal Pradesh
