place_name,state_ut,district,city_or_town,nearest_major_city,category
Life Spring Corner,Assam,Dimapur,Dimapur,Dimapur,Recreation
Manas National Park & Tiger Reserve,Assam,Baksa,Barpeta Road,Guwahati,Wildlife
Haflong,Assam,Dima Hasao,Haflong,Silchar,Trek
Umrangso,Assam,Dima Hasao,Umrangso,Guwahati,Trek
Naranarayan Setu,Assam,Goalpara,Pancharatna,Goalpara,Monument
Kaziranga National Park,Assam,Golaghat,Kohora,Jorhat,Nature
Hajo,Assam,Kamrup,Hajo,Guwahati,Village
Sualkuchi,Assam,Kamrup,Sualkuchi,Guwahati,Mountain
Girijananda Chowdhury University Campus,Assam,Kamrup Metropolitan,Azara,Guwahati,Culture
Guwahati Passenger Ropeway,Assam,Kamrup Metropolitan,Panbazar,Guwahati,Adventure
Guwahati Planetarium,Assam,Kamrup Metropolitan,Uzanbazar,Guwahati,Museum
IIT Guwahati Heritage Campus,Assam,Kamrup Metropolitan,Amingaon,Guwahati,Culture
Kamakhya Temple Guwahati,Assam,Kamrup Metropolitan,Guwahati,Guwahati,Temple
Nehru Park Guwahati,Assam,Kamrup Metropolitan,Panbazar,Guwahati,Nature
Pan Bazar Cultural & Literary Street,Assam,Kamrup Metropolitan,Panbazar,Guwahati,Culture
Sri Umananda Temple,Assam,Kamrup Metropolitan,Peacock Island,Guwahati,Temple
Sukreswar Mandir,Assam,Kamrup Metropolitan,Panbazar,Guwahati,Temple
Umananda Island (Peacock Island) Guwahati,Assam,Kamrup Metropolitan,Guwahati,Guwahati,Island
Majuli Island,Assam,Majuli,Garamur,Jorhat,Island
Majuli River Island,Assam,Majuli,Garamur,Jorhat,Culture
Mayong Village,Assam,Morigaon,Mayong,Guwahati,Village
Pobitora Wildlife Sanctuary,Assam,Morigaon,Mayong,Guwahati,Wildlife
Sibsagar,Assam,Sivasagar,Sivasagar,Jorhat,Trek
Sivasagar Sivadol,Assam,Sivasagar,Sivasagar,Jorhat,Heritage
Tezpur,Assam,Sonitpur,Tezpur,Guwahati,Mountain
Dibru-Saikhowa National Park,Assam,Tinsukia,Tinsukia,Dibrugarh,Mountain
Digboi,Assam,Tinsukia,Digboi,Tinsukia,Trek
Navagraha Temple,Assam,Guwahati,Guwahati,Guwahati,Temple
Brahmaputra River,Assam,"Guwahati, North Assam",Guwahati,Guwahati,Riverfront
Orang National Park,Assam,"Darrang, Sonitpur",Darrang,Darrang,Wildlife
Rang Ghar,Assam,Sivasagar,Sivasagar,Jorhat,Heritage
Shiva Dol,Assam,Sivasagar,Sivasagar,Jorhat,Heritage
Charaideo Maidams,Assam,Charaideo,Charaideo,Charaideo,Lake
Agni Garh,Assam,Tezpur,Tezpur,Tezpur,Fort
Madan Kamdev,Assam,Kamrup,Hajo,Guwahati,Heritage
Bogamati,Assam,Baksa,Barpeta Road,Guwahati,Heritage
Assam State Museum,Assam,Guwahati,Guwahati,Guwahati,Museum
Bihu Cultural Sites,Assam,Assam,Assam,Assam,Heritage
Assam State Zoo cum Botanical Garden,Assam,Guwahati,Guwahati,Guwahati,Wildlife
Deepor Beel,Assam,Guwahati,Guwahati,Guwahati,Lake
Basistha Temple,Assam,Guwahati,Guwahati,Guwahati,Temple
Balaji Temple,Assam,Guwahati,Guwahati,Guwahati,Temple
Hayagriva Madhava Temple,Assam,Hajo,Hajo,Hajo,Temple
Da-Parbatia Temple,Assam,Tezpur,Tezpur,Tezpur,Temple
Nameri National Park,Assam,Sonitpur,Tezpur,Guwahati,Wildlife
Bhairabi Temple,Assam,Tezpur,Tezpur,Tezpur,Temple
Bura Chapori Wildlife Sanctuary,Assam,Sonitpur,Tezpur,Guwahati,Wildlife
Garbhanga Reserve Forest,Assam,Kamrup,Hajo,Guwahati,Heritage
Panimur Waterfall,Assam,Dima Hasao,Haflong,Silchar,Waterfall
Jatinga,Assam,Dima Hasao,Haflong,Silchar,Heritage
Maibong,Assam,Dima Hasao,Haflong,Silchar,Heritage
Karbi Anglong,Assam,Karbi Anglong,Karbi Anglong,Karbi Anglong,Heritage
Dehing Patkai National Park,Assam,"Dibrugarh, Tinsukia",Dibrugarh,Dibrugarh,Wildlife
Dibru River,Assam,Tinsukia,Tinsukia,Dibrugarh,Riverfront
Madhavdev Kalakshetra,Assam,Lakhimpur,Lakhimpur,Lakhimpur,Heritage
Bogibeel Bridge,Assam,Dibrugarh,Dibrugarh,Dibrugarh,Hill Station
Garhgaon Palace,Assam,Sivasagar,Sivasagar,Jorhat,Fort
Talatal Ghar,Assam,Sivasagar,Sivasagar,Jorhat,Heritage
Kareng Ghar,Assam,Sivasagar,Sivasagar,Jorhat,Heritage
Joysagar Tank,Assam,Sivasagar,Sivasagar,Jorhat,Heritage
Moidams of Charaideo,Assam,Charaideo,Charaideo,Charaideo,Lake
Hoollongapar Gibbon Wildlife Sanctuary,Assam,Jorhat,Jorhat,Jorhat,Wildlife
Nilachal Hill,Assam,Guwahati,Guwahati,Guwahati,Heritage
Chitralekha Udyan,Assam,Tezpur,Tezpur,Tezpur,Park
Margherita,Assam,Tinsukia,Tinsukia,Dibrugarh,Heritage
Panimoor Waterfall,Assam,Dima Hasao,Haflong,Silchar,Waterfall
Maibang,Assam,Dima Hasao,Haflong,Silchar,Heritage
Silchar,Assam,Cachar,Cachar,Cachar,Heritage
Sonai Rupai Wildlife Sanctuary,Assam,Sonitpur,Tezpur,Guwahati,Wildlife
Basistha Ashram,Assam,Guwahati,Guwahati,Guwahati,Heritage
Auniati Satra,Assam,Majuli,Garamur,Jorhat,Heritage
Kamalabari Satra,Assam,Majuli,Garamur,Jorhat,Heritage
Dakhinpat Satra,Assam,Majuli,Garamur,Jorhat,Heritage
Hoollongapar Gibbon Sanctuary,Assam,Jorhat,Jorhat,Jorhat,Wildlife
Dibrugarh,Assam,Dibrugarh,Dibrugarh,Dibrugarh,Fort
Goalpara,Assam,Goalpara,Pancharatna,Goalpara,Heritage
Pancharatna,Assam,Goalpara,Pancharatna,Goalpara,Heritage
Poa Mecca,Assam,Hajo,Hajo,Hajo,Heritage
Manas Soushi Khongkhor,Assam,Baksa,Mushalpur,Guwahati,Nature
Moina Pukhuri,Assam,Baksa,Mushalpur,Guwahati,Lake
Kokilabari Reserve Forest,Assam,Baksa,Mushalpur,Guwahati,Wildlife
Mathanguri,Assam,Baksa,Mushalpur,Guwahati,Temple
Chowki Picnic Spot,Assam,Baksa,Mushalpur,Guwahati,Nature
Daragaon Picnic Spot,Assam,Baksa,Mushalpur,Guwahati,Nature
Kalanadi Picnic Spot,Assam,Baksa,Mushalpur,Guwahati,Nature
Phota Dwilam Picnic Spot,Assam,Baksa,Mushalpur,Guwahati,Nature
Bhangtar,Assam,Baksa,Mushalpur,Guwahati,Nature
Jalikhata / Kalibari Than,Assam,Bajali,Pathsala,Guwahati,Temple
Oldest Living Banyan Tree at Jalikhata,Assam,Bajali,Pathsala,Guwahati,Nature
Parihareswar Devalaya,Assam,Bajali,Pathsala,Guwahati,Temple
Gopal Ata Than,Assam,Bajali,Pathsala,Guwahati,Temple
Bamakhata Satra,Assam,Bajali,Pathsala,Guwahati,Cultural
Bhogeswar Mandir Ulua,Assam,Bajali,Pathsala,Guwahati,Temple
Pahumara Chapori,Assam,Bajali,Pathsala,Guwahati,Nature
Akaya Satra,Assam,Bajali,Pathsala,Guwahati,Cultural
Barpeta Satra,Assam,Barpeta,Barpeta,Guwahati,Cultural
Patbaushi Satra,Assam,Barpeta,Barpeta,Guwahati,Cultural
Ganakkuchi Satra,Assam,Barpeta,Barpeta,Guwahati,Cultural
Sundaridiya Satra,Assam,Barpeta,Barpeta,Guwahati,Cultural
Baradi Satra,Assam,Barpeta,Barpeta,Guwahati,Cultural
Chinpara Vithi,Assam,Barpeta,Barpeta,Guwahati,Archaeological Site
Gorokhia Gosair Than,Assam,Barpeta,Barpeta,Guwahati,Temple
Dargah of Syed Shahnur Dewan,Assam,Barpeta,Barpeta,Guwahati,Religious Heritage
Hadira Chowki,Assam,Barpeta,Barpeta,Guwahati,Nature
Sarthebari,Assam,Barpeta,Barpeta,Guwahati,Nature
Baghbar Hill,Assam,Barpeta,Barpeta,Guwahati,Hill
Beki River Tourist Spot,Assam,Barpeta,Barpeta,Guwahati,Nature
Bhalaguri Picnic Spot,Assam,Barpeta,Barpeta,Guwahati,Nature
Bhogerpar Picnic Point,Assam,Barpeta,Barpeta,Guwahati,Nature
Bahari Picnic Spot,Assam,Barpeta,Barpeta,Guwahati,Nature
Biswanath Ghat / Biswanath Temple,Assam,Biswanath,Biswanath Chariali,Tezpur,Temple
Nagsankar Temple,Assam,Biswanath,Biswanath Chariali,Tezpur,Temple
Vasudeva Doul,Assam,Biswanath,Biswanath Chariali,Tezpur,Temple
Uma Tumoni Island,Assam,Biswanath,Biswanath Chariali,Tezpur,Nature
Green Ashiyana Island Resort,Assam,Biswanath,Biswanath Chariali,Tezpur,Nature
Nomara Picnic Place,Assam,Biswanath,Biswanath Chariali,Tezpur,Nature
Monabarie Tea Estate,Assam,Biswanath,Biswanath Chariali,Tezpur,Tea Landscape
Gang Mou Than,Assam,Biswanath,Biswanath Chariali,Tezpur,Temple
Biswanath Chariali Clock Tower,Assam,Biswanath,Biswanath Chariali,Tezpur,Nature
Naakkati Hills,Assam,Bongaigaon,Bongaigaon,Guwahati,Hill
Koyakujia Beel Lake cum Park,Assam,Bongaigaon,Bongaigaon,Guwahati,Wildlife
Rock Cut Caves Jogighopa,Assam,Bongaigaon,Bongaigaon,Guwahati,Cave
Tamranga Beel,Assam,Bongaigaon,Bongaigaon,Guwahati,Lake
Kakoijana Reserve Forest,Assam,Bongaigaon,Bongaigaon,Guwahati,Wildlife
Lalmati Duramari Ganesh Mandir,Assam,Bongaigaon,Bongaigaon,Guwahati,Temple
Bagheswari Temple,Assam,Bongaigaon,Bongaigaon,Guwahati,Temple
Bagheswari Hill,Assam,Bongaigaon,Bongaigaon,Guwahati,Hill
Bhairabsura Hill,Assam,Bongaigaon,Bongaigaon,Guwahati,Hill
Sri Sri Maa Maharani Devi Temple Khagarpur,Assam,Bongaigaon,Bongaigaon,Guwahati,Temple
Borjhora Waterfall,Assam,Bongaigaon,Bongaigaon,Guwahati,Waterfall
Doloni Beel,Assam,Bongaigaon,Bongaigaon,Guwahati,Lake
Turturiya Hill,Assam,Bongaigaon,Bongaigaon,Guwahati,Hill
Birjhora Tea Estate,Assam,Bongaigaon,Bongaigaon,Guwahati,Tea Landscape
Astha Nature's Home,Assam,Bongaigaon,Bongaigaon,Guwahati,Nature
Bhubaneswar Temple Bhuvan Hill,Assam,Cachar,Silchar,Silchar,Temple
Maniharan Tunnel,Assam,Cachar,Silchar,Silchar,Temple
Khaspur Ruins / Kachari Fort,Assam,Cachar,Silchar,Silchar,Heritage
Kancha Kanti Kali Temple,Assam,Cachar,Silchar,Silchar,Temple
Dolu Lake,Assam,Cachar,Silchar,Silchar,Lake
Borail Hills,Assam,Cachar,Silchar,Silchar,Hill
Borail Wildlife Sanctuary,Assam,Cachar,Silchar,Silchar,Wildlife
Martyr's Tomb Gandhi Bagh,Assam,Cachar,Silchar,Silchar,Archaeological Site
Salganga Vishnu Temple,Assam,Cachar,Silchar,Silchar,Temple
Barambaba Mandir,Assam,Cachar,Silchar,Silchar,Temple
Katakhal Rail-Cum-Road Bridge,Assam,Cachar,Silchar,Silchar,Engineering Heritage
Dilighat,Assam,Charaideo,Sonari,Dibrugarh,Nature
Sri Sri Haridev Bornamghar,Assam,Charaideo,Sonari,Dibrugarh,Temple
Cholapathar Shyam Gaon Buddhist Monastery,Assam,Charaideo,Sonari,Dibrugarh,Temple
Historical Borhat Bazar,Assam,Charaideo,Sonari,Dibrugarh,Nature
Borpatra Pukhuri / Raja Pukhuri,Assam,Charaideo,Sonari,Dibrugarh,Lake
Charaideo Tea Gardens,Assam,Charaideo,Sonari,Dibrugarh,Tea Landscape
Assam-Arunachal Pradesh Border,Assam,Charaideo,Sonari,Dibrugarh,Nature
Bhojo Warfare Site,Assam,Charaideo,Sonari,Dibrugarh,Archaeological Site
Manas National Park wildlife zone,Assam,Chirang,Kajalgaon,Bongaigaon,Wildlife
Gelephu India-Bhutan Border,Assam,Chirang,Kajalgaon,Bongaigaon,Nature
Kalamati,Assam,Chirang,Kajalgaon,Bongaigaon,Nature
Mwnabili Picnic Spot & Eco Tourism,Assam,Chirang,Kajalgaon,Bongaigaon,Nature
Panbari Range,Assam,Chirang,Kajalgaon,Bongaigaon,Wildlife
Aie River / Dwijing Festival area,Assam,Chirang,Kajalgaon,Bongaigaon,Nature
Bijni Satra,Assam,Chirang,Kajalgaon,Bongaigaon,Cultural
Kali Mandir,Assam,Chirang,Kajalgaon,Bongaigaon,Temple
Gabhrukhunda,Assam,Chirang,Kajalgaon,Bongaigaon,Nature
Datgiri Forest Reserve,Assam,Chirang,Kajalgaon,Bongaigaon,Wildlife
Rani Sundari Forest Reserve,Assam,Chirang,Kajalgaon,Bongaigaon,Wildlife
