place_name,state_ut,district,city_or_town,nearest_major_city,category
Aguada Fort,Goa,North Goa,Panaji,Panaji,Heritage
Arambol Mountain,Goa,North Goa,Panaji,Panaji,Nature
Archaeological Museum of Goa,Goa,North Goa,Panaji,Panaji,Heritage
Azad Maidan,Goa,North Goa,Panaji,Panaji,Heritage
Bhagwan Mahaveer Children's Park,Goa,North Goa,Panaji,Panaji,Recreation
Bhagwan Mahavir Bal Vihar,Goa,North Goa,Panaji,Panaji,Recreation
Campal Gardens,Goa,North Goa,Panaji,Panaji,Recreation
Church of St. Francis of Assisi,Goa,North Goa,Panaji,Panaji,Religious
Goa Beaches,Goa,North Goa,Panaji,Panaji,Nature
Houses of Goa Museum,Goa,North Goa,Panaji,Panaji,Cultural
Immaculate Conception Church,Goa,North Goa,Panaji,Panaji,Religious
Jama Masjid,Goa,North Goa,Panaji,Panaji,Religious
Juve Fort,Goa,North Goa,Panaji,Panaji,Heritage
Malson Shoes,Goa,North Goa,Panaji,Panaji,Recreation
Mollem National Park & Bhagwan Mahavir Wildlife Sanctuary,Goa,North Goa,Panaji,Panaji,Wildlife
Museum Of Christian Art,Goa,North Goa,Panaji,Panaji,Cultural
Panjim Municipal Garden,Goa,North Goa,Panaji,Panaji,Recreation
Public Astronomical Observatory Goa,Goa,North Goa,Panaji,Panaji,Nature
Se Cathedral (Sé Catedral de Santa Catarina),Goa,North Goa,Old Goa,Panaji,Heritage
Shree Shankar Temple,Goa,North Goa,Panaji,Panaji,Religious
Sinquerim Fort,Goa,North Goa,Marmagao,Panaji,Heritage
St. Augustine Tower,Goa,North Goa,Panaji,Panaji,Cultural
"St. Cajetan Church, Goa",Goa,North Goa,Panaji,Panaji,Religious
St. Inez Church,Goa,North Goa,Panaji,Panaji,Religious
Statue of Lord Parashuram,Goa,North Goa,Panaji,Panaji,Cultural
Tambdi Surla Waterfalls,Goa,North Goa,Panaji,Panaji,Wildlife
Agacaim Muddflats,Goa,South Goa,Marmagao,Panaji,Cultural
Ambora Spring,Goa,South Goa,Marmagao,Panaji,Cultural
Aqua Waterfall,Goa,South Goa,Marmagao,Panaji,Cultural
Baina Beach,Goa,South Goa,Marmagao,Panaji,Cultural
Baina beach flyover,Goa,South Goa,Marmagao,Panaji,Cultural
Baina Beach Sunset Point,Goa,South Goa,Marmagao,Panaji,Cultural
Bambolim Beach,Goa,South Goa,Marmagao,Panaji,Cultural
Beach Sun set View Point,Goa,South Goa,Marmagao,Panaji,Cultural
Big Foot Goa,Goa,South Goa,Marmagao,Panaji,Cultural
Bogmalo beach,Goa,South Goa,Marmagao,Panaji,Cultural
Cansaulim Beach,Goa,South Goa,Marmagao,Panaji,Cultural
"Colva Beach, Goa",Goa,South Goa,Panaji,Panaji,Nature
Dabolim runway view point,Goa,South Goa,Marmagao,Panaji,Cultural
Dona Paula Beach,Goa,South Goa,Marmagao,Panaji,Cultural
Dona Paula Jetty Goa,Goa,South Goa,Marmagao,Panaji,Cultural
Dona Paula View Point,Goa,South Goa,Marmagao,Panaji,Cultural
Gonsua Betalbatim Beach,Goa,South Goa,Marmagao,Panaji,Nature
Gonsua lake,Goa,South Goa,Marmagao,Panaji,Cultural
Heart Lake,Goa,South Goa,Marmagao,Panaji,Cultural
Hollant beach,Goa,South Goa,Marmagao,Panaji,Cultural
Indian Naval Aviation Museum,Goa,South Goa,Panaji,Panaji,Cultural
Japanese Garden,Goa,South Goa,Marmagao,Panaji,Recreation
Joggers Park,Goa,South Goa,Marmagao,Panaji,Recreation
Kadamba Shri Mahadeva Temple (Tambdisurla),Goa,South Goa,Panaji,Panaji,Religious
Kesarval Spring Verna Waterfall,Goa,South Goa,Marmagao,Panaji,Wildlife
Lovers View Point,Goa,South Goa,Marmagao,Panaji,Cultural
Majorda beach,Goa,South Goa,Marmagao,Panaji,Cultural
