place_name,state_ut,district,city_or_town,nearest_major_city,category
Auto World Vintage Car Museum,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Cultural
Balvatika & N. H. Museum,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Cultural
Kaligam Fort,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Heritage
Lalbhai Dalpatbhai Museum,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Cultural
Law Garden,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Recreation
Rani no Hajiro,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Cultural
Riverfront Flower Park,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Recreation
Sidi Saiyyed Mosque,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Religious
Teen Darwaza,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Cultural
The Calico Museum of Textiles,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Cultural
Patan Fort,Gujarat,Patan,Patan,Ahmedabad,Heritage
Shree Siddhraj Jaysinh Statue Patan,Gujarat,Patan,Patan,Ahmedabad,Cultural
Aji Dam,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Aji Dam 2 view point,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Aji Dam viewpoint,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Aji Park,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Art Street,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Aryabhatt Science Museum,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
"BAPS Shri Swaminarayan Mandir, Rajkot",Gujarat,Rajkot,Rajkot,Rajkot,Religious
Blue Step Garden,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Fun World,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Gram Vihar,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Green Leaf Water World,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
I love Rajkot,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Ishwariya Park,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Jilla Garden,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Jubilee Garden,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Kaba Gandhi No Delo,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Kalipat check dam,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Mahatma Gandhi Museum,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Narshi Mehta Garden,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Nyari Dam,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Parshuram Lake,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
"Pradhyuman Zoological Park, Rajkot",Gujarat,Rajkot,Rajkot,Rajkot,Wildlife
Prem Mandir,Gujarat,Rajkot,Rajkot,Rajkot,Religious
Race Course Ring Road,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Rajkot bypass to Ahmedabad,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Rajkot garden,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Ram Mandir,Gujarat,Rajkot,Rajkot,Rajkot,Religious
"Ram Van, Rajkot",Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Randarda Lake View,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Ranjit Villas Palace,Gujarat,Rajkot,Rajkot,Rajkot,Heritage
Rotary International Dolls Museum,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Royal Mela Rajkot,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
Sardar Vallabhbhai Patel Waterfall,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
"Shree Ishwariya Mahadev Mandir , Rajkot",Gujarat,Rajkot,Rajkot,Rajkot,Religious
Tramba Triveni Sangam,Gujarat,Rajkot,Rajkot,Rajkot,Recreation
Watson Museum,Gujarat,Rajkot,Rajkot,Rajkot,Cultural
ISKCON Temple Surat,Gujarat,Surat,Surat,Surat,Religious
Jawaharlal Nehru Garden,Gujarat,Surat,Surat,Surat,Recreation
Joggers Park,Gujarat,Surat,Surat,Surat,Recreation
Lake View Garden,Gujarat,Surat,Surat,Surat,Recreation
Maharana Pratap Garden (Chowpati),Gujarat,Surat,Surat,Surat,Recreation
Navdi Bandar Statue,Gujarat,Surat,Surat,Surat,Cultural
Sai Mandir Sansthan,Gujarat,Surat,Surat,Surat,Religious
Sardar Patel Museum,Gujarat,Surat,Surat,Surat,Cultural
Summer Palace,Gujarat,Surat,Surat,Surat,Heritage
Surat Castle,Gujarat,Surat,Surat,Surat,Heritage
Three Leaf Banyan Tree,Gujarat,Surat,Surat,Surat,Cultural
EME Temple,Gujarat,Vadodara,Vadodara,Vadodara,Religious
ISKCON Temple,Gujarat,Vadodara,Vadodara,Vadodara,Religious
Jagnath Mahadev Mandir - Navnath,Gujarat,Vadodara,Vadodara,Vadodara,Religious
Kamati Baug Vadodra,Gujarat,Vadodara,Vadodara,Vadodara,Recreation
Kirti Stambh,Gujarat,Vadodara,Vadodara,Vadodara,Cultural
Laxmi Vilas Palace,Gujarat,Vadodara,Vadodara,Vadodara,Heritage
Maharaja Fateh Singh Museum,Gujarat,Vadodara,Vadodara,Vadodara,Cultural
Nandalay Temple,Gujarat,Vadodara,Vadodara,Vadodara,Religious
Nandan Kanan Park,Gujarat,Vadodara,Vadodara,Vadodara,Recreation
Nature Education Park,Gujarat,Vadodara,Vadodara,Vadodara,Wildlife
Nimeta Garden,Gujarat,Vadodara,Vadodara,Vadodara,Recreation
Radhakrishna (Akota) Garden,Gujarat,Vadodara,Vadodara,Vadodara,Recreation
Sai Baba Temple,Gujarat,Vadodara,Vadodara,Vadodara,Religious
Sayaji Baug Health Museum,Gujarat,Vadodara,Vadodara,Vadodara,Cultural
Sayaji Garden,Gujarat,Vadodara,Vadodara,Vadodara,Recreation
Shri Rameshwar Mahadev Temple,Gujarat,Vadodara,Vadodara,Vadodara,Religious
Siddhivinayak Temple,Gujarat,Vadodara,Vadodara,Vadodara,Religious
Sur Sagar Lake,Gujarat,Vadodara,Vadodara,Vadodara,Nature
Surpaneshwar Mahadev Temple,Gujarat,Vadodara,Vadodara,Vadodara,Religious
Surya Narayan Temple,Gujarat,Vadodara,Vadodara,Vadodara,Religious
"VAYA Hanuman Temple, Deluxe, Nizampura",Gujarat,Vadodara,Vadodara,Vadodara,Religious
Vidhyadhar Vaav (Stepwell) at Sevasi,Gujarat,Vadodara,Vadodara,Vadodara,Cultural
Gujarat Science City,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Museum
Kankaria Lake,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Lake
Manek Chowk Night Food Market,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Food
Nal Sarovar Bird Sanctuary,Gujarat,Ahmedabad,Sanand,Ahmedabad,Wildlife
Sabarmati Ashram (Gandhi Ashram),Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Heritage
Sabarmati Riverfront,Gujarat,Ahmedabad,Ahmedabad,Ahmedabad,Nature
Palitana,Gujarat,Bhavnagar,Palitana,Bhavnagar,Village
Girmal Falls,Gujarat,Dang,Subir,Surat,Mountain
Saputara,Gujarat,Dang,Saputara,Surat,Trek
Dwarkadhish Temple (Jagat Mandir),Gujarat,Devbhumi Dwarka,Dwarka,Jamnagar,Temple
Dandi Kutir Museum,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,Museum
Swaminarayan Akshardham Gandhinagar,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,Temple
Somnath Temple,Gujarat,Gir Somnath,Prabhas Patan,Veraval,Temple
Narara Marine National Park,Gujarat,Jamnagar,Vadinar,Jamnagar,Beach
Gir National Park,Gujarat,Junagadh,Sasan Gir,Junagadh,Wildlife
Dholavira,Gujarat,Kutch,Dholavira,Bhuj,Village
Lakhpat,Gujarat,Kutch,Lakhpat,Bhuj,Village
Mandvi Beach,Gujarat,Kutch,Mandvi,Bhuj,Beach
White Rann of Kutch & Rann Utsav,Gujarat,Kutch,Dhordo,Bhuj,Nature
Statue of Unity,Gujarat,Narmada,Kevadia (Ekta Nagar),Vadodara,Monument
Champaner,Gujarat,Panchmahal,Champaner,Vadodara,Village
