place_name,state_ut,district,city_or_town,nearest_major_city,category
Beeji's Park,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Recreation
Bhuri Singh Museum,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Cultural
Chamera Lake view point,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Nature
Church Park,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Recreation
Dalhousie Cantonment Forest,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Wildlife
Kalatop Forest,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Nature
Nomadic Dalhousie,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Nature
St. Francis Church,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Religious
St. John's Church,Himachal Pradesh,Chamba,Dalhousie,Pathankot,Religious
Aghanjar Mahadev,Himachal Pradesh,Kangra,McLeod Ganj,Kangra,Religious
Bhagsu Naag Temple,Himachal Pradesh,Kangra,McLeod Ganj,Kangra,Religious
Dip Tse Chok Ling,Himachal Pradesh,Kangra,Dharamshala,Kangra,Religious
Kalachakra temple,Himachal Pradesh,Kangra,Dharamshala,Kangra,Religious
Laka Glacier,Himachal Pradesh,Kangra,McLeod Ganj,Kangra,Nature
Mcleod Ganj Trekk,Himachal Pradesh,Kangra,McLeod Ganj,Kangra,Recreation
McLeod Square Temple,Himachal Pradesh,Kangra,McLeod Ganj,Kangra,Religious
Naddi Hill Point Mcleod Ganj,Himachal Pradesh,Kangra,Dharamshala,Kangra,Religious
Naddi View Point,Himachal Pradesh,Kangra,Dharamshala,Kangra,Nature
Namgyal Monastery,Himachal Pradesh,Kangra,Dharamshala,Kangra,Religious
Shiva Temple,Himachal Pradesh,Kangra,Dharamshala,Kangra,Religious
Tsuglagkhang Complex Dalai Lama Temple,Himachal Pradesh,Kangra,Dharamshala,Kangra,Religious
Bhrigu Lake Trek,Himachal Pradesh,Kullu,Manali,Kullu,Nature
Chalal Trek Trail,Himachal Pradesh,Kullu,Kasol,Kullu,Nature
Gauri Shankar Temple,Himachal Pradesh,Kullu,Manali,Kullu,Religious
Ghatotkach Tree Temple,Himachal Pradesh,Kullu,Manali,Kullu,Religious
Hadimba Devi Temple,Himachal Pradesh,Kullu,Manali,Kullu,Religious
Hadimba Himachal Park,Himachal Pradesh,Kullu,Manali,Kullu,Nature
Manali Nature Park (Van Vihar),Himachal Pradesh,Kullu,Manali,Manali,Nature
"Manu Temple, Old Manali",Himachal Pradesh,Kullu,Manali,Kullu,Religious
Museum of Himachal Culture & Folk Art,Himachal Pradesh,Kullu,Manali,Kullu,Cultural
Nature Park Kasol,Himachal Pradesh,Kullu,Kasol,Kullu,Recreation
Parvati Valley,Himachal Pradesh,Kullu,Kasol,Kullu,Wildlife
Shri Anjani Mahadev Mandir,Himachal Pradesh,Kullu,Manali,Kullu,Religious
Shri Vashishtha Temple,Himachal Pradesh,Kullu,Manali,Kullu,Religious
Snow Man Point,Himachal Pradesh,Kullu,Manali,Kullu,Nature
Solang Valley,Himachal Pradesh,Kullu,Manali,Kullu,Wildlife
Van Vihar National Park,Himachal Pradesh,Kullu,Manali,Kullu,Recreation
Whiteland holidays,Himachal Pradesh,Kullu,Manali,Kullu,Religious
"Christ Church, Shimla",Himachal Pradesh,Shimla,Shimla,Chandigarh,Religious
Gorton Castle,Himachal Pradesh,Shimla,Shimla,Chandigarh,Heritage
Himachal State Museum,Himachal Pradesh,Shimla,Shimla,Chandigarh,Cultural
