place_name,state_ut,district,city_or_town,nearest_major_city,category
Bhawanipur Maa Kali Mandir Park,Jharkhand,Bokaro,Bokaro Steel City,Ranchi,Recreation
Gayatri Mandir,Jharkhand,Bokaro,Bokaro Steel City,Ranchi,Religious
Jagannath Mandir Bokaro,Jharkhand,Bokaro,Bokaro Steel City,Ranchi,Religious
"Jama Masjid, Sector-4",Jharkhand,Bokaro,Bokaro Steel City,Ranchi,Religious
Park,Jharkhand,Bokaro,Bokaro Steel City,Ranchi,Recreation
RADIO Tower Chowk,Jharkhand,Bokaro,Bokaro Steel City,Ranchi,Recreation
"Shree Ayyappa Temple - Sector 5, Bokaro SteelCity, Jharkhand, India",Jharkhand,Bokaro,Bokaro Steel City,Ranchi,Religious
Bekarbandh Park,Jharkhand,Dhanbad,Dhanbad,Ranchi,Recreation
"Govardhan Eco Restoration Park, Bera",Jharkhand,Dhanbad,Dhanbad,Ranchi,Recreation
Hirapur Durga Mandir hiiraapur durgaa mndir,Jharkhand,Dhanbad,Dhanbad,Ranchi,Religious
Katras Palace,Jharkhand,Dhanbad,Dhanbad,Ranchi,Heritage
Rajendra Sarovar Park,Jharkhand,Dhanbad,Dhanbad,Ranchi,Recreation
Sai Baba Mandir,Jharkhand,Dhanbad,Dhanbad,Ranchi,Religious
Shakti Mandir,Jharkhand,Dhanbad,Dhanbad,Ranchi,Religious
Vaishnavi & Vaibhavi Wellbeing Hub,Jharkhand,Dhanbad,Dhanbad,Ranchi,Recreation
Bat Island,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Bhatia Park,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Dalma Wildlife Sanctuary,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Wildlife
Dimna Lake,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Eco- Park,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Jamshedpur Coin Museum,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Cultural
Jubilee Park,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Millennium Park,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Moolgaokar Park,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Sir Dorabji Tata Park,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Tata Zoo Lake,Jharkhand,East Singhbhum,Jamshedpur,Ranchi,Recreation
Kabir Gyan Mandir,Jharkhand,Giridih,Giridih,Ranchi,Religious
"Khandoli Park, Giridih",Jharkhand,Giridih,Giridih,Ranchi,Recreation
"Biodiversity Park - Ranchi District, Jharkhand, India",Jharkhand,Ranchi,Ranchi,Ranchi,Recreation
Dhurwa Dam Park,Jharkhand,Ranchi,Ranchi,Ranchi,Recreation
Jagannath Mandir,Jharkhand,Ranchi,Ranchi,Ranchi,Religious
Kanke Dam Park,Jharkhand,Ranchi,Ranchi,Ranchi,Recreation
Oxygen Park,Jharkhand,Ranchi,Ranchi,Ranchi,Recreation
