place_name,state_ut,district,city_or_town,nearest_major_city,category
Bangladesh Plains View Point,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Recreation
Eco Park,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Recreation
Mawkdok Dympep Valley View Point,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Nature
Mawsmai Nongthymmai Eco Park,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Recreation
Mot I pun / Palong Park,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Recreation
Thangkharang Park,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Recreation
View Point Of Cherrapunjee,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Nature
Double Decker Living Root Bridge (Jingkieng Nongriat),Meghalaya,East Khasi Hills,Nongriat (near Cherrapunji),Shillong,Nature
Mawlyngbna,Meghalaya,East Khasi Hills,Mawsynram,Shillong,Village
Mawlynnong Village (God's Own Garden),Meghalaya,East Khasi Hills,Mawlynnong,Shillong,Culture
Mawphlang Sacred Grove,Meghalaya,East Khasi Hills,Mawphlang,Shillong,Village
Nohkalikai Falls Cherrapunji,Meghalaya,East Khasi Hills,Sohra (Cherrapunji),Shillong,Nature
Umling Scenic Highland Rest Stop,Meghalaya,Ri-Bhoi,Umling,Nongpoh,Nature
Jakrem,Meghalaya,South West Khasi Hills,Mawkyrwat,Shillong,Valley
Krang Suri Waterfalls,Meghalaya,West Jaintia Hills,Amlarem,Jowai,Waterfall
Umngot River Dawki & Shnongpdeng,Meghalaya,West Jaintia Hills,Dawki,Shillong,Nature
Shillong,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Hill Station
Mawsynram,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Heritage
Seven Sisters Falls,Meghalaya,Cherrapunji,Cherrapunji,Cherrapunji,Waterfall
Mawsmai Cave,Meghalaya,Cherrapunji,Cherrapunji,Cherrapunji,Cave
Dawki,Meghalaya,West Jaintia Hills,Amlarem,Jowai,Riverfront
Laitlum Canyon,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Heritage
Elephant Falls,Meghalaya,Shillong,Shillong,Shillong,Waterfall
Balpakram National Park,Meghalaya,South Garo Hills,South Garo Hills,South Garo Hills,Wildlife
Nokrek National Park,Meghalaya,Garo Hills,Garo Hills,Garo Hills,Wildlife
Jowai,Meghalaya,West Jaintia Hills,Amlarem,Jowai,Heritage
Krang Suri Falls,Meghalaya,West Jaintia Hills,Amlarem,Jowai,Waterfall
Nongpoh,Meghalaya,Ri-Bhoi,Umling,Nongpoh,Lake
Ward's Lake,Meghalaya,Shillong,Shillong,Shillong,Lake
Arwah Cave,Meghalaya,Cherrapunji,Cherrapunji,Cherrapunji,Cave
Wei Sawdong Falls,Meghalaya,East Khasi Hills,Cherrapunji,Shillong,Waterfall
Umiam Lake,Meghalaya,Ri-Bhoi,Umling,Nongpoh,Lake
Nartiang Monoliths,Meghalaya,West Jaintia Hills,Amlarem,Jowai,Heritage
