place_name,state_ut,district,city_or_town,nearest_major_city,category
Arulmigu Sri Parthasarathy Perumal Temple Tiruvallikeni,Tamil Nadu,Chennai,Chennai,Chennai,Religious
Fort St.George Museum,Tamil Nadu,Chennai,Chennai,Chennai,Cultural
Government Museum Chennai,Tamil Nadu,Chennai,Chennai,Chennai,Cultural
Kannagi Statue,Tamil Nadu,Chennai,Chennai,Chennai,Cultural
"Secretariat Park, Chennai",Tamil Nadu,Chennai,Chennai,Chennai,Recreation
Top Station,Tamil Nadu,Chennai,Munnar,Kochi,Nature
Vivekananda House,Tamil Nadu,Chennai,Chennai,Chennai,Cultural
Gass Forest Museum,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,Cultural
Ramar Temple,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,Religious
Sri Arulmigu Subramaniya Swamy Temple Marudhamalai,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,Religious
Sri Masaniamman Temple,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,Religious
Bryant Park,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Recreation
Chettiar Park,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Recreation
CSI Christ the King Church Kodaikanal,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Religious
"Government Rose Garden , Kodaikanal",Tamil Nadu,Dindigul,Kodaikanal,Madurai,Recreation
Kodaikanal Hill Station,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Nature
Kodaikanal Solar Observatory Museum,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Cultural
Kurinji Andavar Temple,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Religious
Natural History Museum,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Cultural
Poondi,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Recreation
punnnit iruty klluuri arungkaattciykm,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Cultural
Sarts gallery,Tamil Nadu,Dindigul,Kodaikanal,Madurai,Recreation
Beach Promenade,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Recreation
KanniyaKumari Amman Temple,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Religious
Kanyakumari,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Cultural
Kanyakumari Beach,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Nature
Kanyakumari Bhagavathy Amman Temple,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Religious
Kanyakumari Sunrise View,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Nature
Kanyakumari Tourist View Point Gandhi Mandapam,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Monument
Mayapuri Wonder Wax,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Cultural
Our Lady of Ransom Shrine,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Religious
Padmanabhapuram Palace,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Heritage
Periyakadu beach,Tamil Nadu,Kanyakumari,Kanyakumari,Thiruvananthapuram,Nature
