place_name,state_ut,district,city_or_town,nearest_major_city,category
Batasia Eco Garden,West Bengal,Darjeeling,Darjeeling,Siliguri,Recreation
Bengal Safari,West Bengal,Darjeeling,Siliguri,Siliguri,Wildlife
Darjeeling Clock Tower,West Bengal,Darjeeling,Darjeeling,Siliguri,Cultural
"DHR Ghum Railway Museum - Darjeeling District, West Bengal, India",West Bengal,Darjeeling,Darjeeling,Siliguri,Heritage
Ghoom Monastery (Yiga Choeling Monastery),West Bengal,Darjeeling,Ghum,Darjeeling,Monastery
Guiders,West Bengal,Darjeeling,Darjeeling,Siliguri,Religious
Happy Valley Tea Estate,West Bengal,Darjeeling,Darjeeling,Siliguri,Recreation
Himalayan Tibet Museum,West Bengal,Darjeeling,Darjeeling,Siliguri,Cultural
HMI MUSEUM,West Bengal,Darjeeling,Darjeeling,Siliguri,Cultural
ISKCON Siliguri,West Bengal,Darjeeling,Siliguri,Siliguri,Religious
"Japanese Buddhist Temple, Darjeeling",West Bengal,Darjeeling,Darjeeling,Siliguri,Religious
Lokenath Baba Mandir,West Bengal,Darjeeling,Siliguri,Siliguri,Religious
Lokenath Mandir,West Bengal,Darjeeling,Siliguri,Siliguri,Religious
Mahakal Temple,West Bengal,Darjeeling,Darjeeling,Siliguri,Religious
"Peace Pagoda, Darjeeling",West Bengal,Darjeeling,Darjeeling,Siliguri,Religious
SALUGARA MONASTERY,West Bengal,Darjeeling,Siliguri,Siliguri,Religious
Sepoy Dhura Tea Garden,West Bengal,Darjeeling,Siliguri,Siliguri,Recreation
Sevoke Forest,West Bengal,Darjeeling,Siliguri,Siliguri,Nature
Sevokeshwari Kali Temple,West Bengal,Darjeeling,Siliguri,Siliguri,Religious
Shrubbery Nightingale Park,West Bengal,Darjeeling,Darjeeling,Siliguri,Recreation
St. Andrews Church,West Bengal,Darjeeling,Darjeeling,Siliguri,Religious
Tea Garden View,West Bengal,Darjeeling,Darjeeling,Siliguri,Wildlife
Yiga Choeling Monastery,West Bengal,Darjeeling,Darjeeling,Siliguri,Religious
Delo Park,West Bengal,Kalimpong,Kalimpong,Siliguri,Recreation
Durpin Monastery,West Bengal,Kalimpong,Kalimpong,Siliguri,Religious
Geden Tharpa Choling Monastery,West Bengal,Kalimpong,Kalimpong,Siliguri,Religious
Lepcha Museum,West Bengal,Kalimpong,Kalimpong,Siliguri,Cultural
Mangal Dham Temple,West Bengal,Kalimpong,Kalimpong,Siliguri,Religious
Birla Mandir,West Bengal,Kolkata,Kolkata,Kolkata,Religious
"Central Park, Salt Lake, Kolkata",West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Citizen's Park,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Eco Park,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Elliot Park,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
"Fort William, India",West Bengal,Kolkata,Kolkata,Kolkata,Heritage
Indian Museum,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
James Prinsep Monument,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Jorasanko Rajbati,West Bengal,Kolkata,Kolkata,Kolkata,Heritage
Jorasanko Thakurbari (Tagore Family Mansion),West Bengal,Kolkata,Kolkata,Kolkata,Heritage
Kolkata Police Museum,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
leniner muurti,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
Lions Safari Park,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Maulana Azad Museum,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
Metcalfe Hall,West Bengal,Kolkata,Kolkata,Kolkata,Heritage
"Millennium Park, Kolkata",West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Minmangal Ghat,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
Mohar Kunja,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Nakhoda Masjid,West Bengal,Kolkata,Kolkata,Kolkata,Religious
Nature Study Park,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Nipponzan Myohoji Buddhist Temple,West Bengal,Kolkata,Kolkata,Kolkata,Religious
Rabindra Sarobar Lake,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Shaheed Minar,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
Shiv Mandir Sarbajanin Durgapuja,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
Smaranika Tram Museum,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
Sri Jagannath Temple - Khidirpur,West Bengal,Kolkata,Kolkata,Kolkata,Religious
St. John's Church,West Bengal,Kolkata,Kolkata,Kolkata,Religious
St. Paul Cathedral Church,West Bengal,Kolkata,Kolkata,Kolkata,Religious
Tala Jheel Park Kolkata,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Victoria Memorial,West Bengal,Kolkata,Kolkata,Kolkata,Cultural
Victoria Square,West Bengal,Kolkata,Kolkata,Kolkata,Recreation
Boating point at Amarabati Park,West Bengal,Purba Medinipur,Digha,Kolkata,Recreation
DHEU SAGAR,West Bengal,Purba Medinipur,Digha,Kolkata,Recreation
Buxa Fort & Buxa Tiger Reserve,West Bengal,Alipurduar,Rajabhatkhawa,Alipurduar,Wildlife
Chilapata Forest & Nalrajar Garh,West Bengal,Alipurduar,Hasimara,Alipurduar,Wildlife
Jaldapara National Park,West Bengal,Alipurduar,Madarihat,Siliguri,Wildlife
Jayanti Riverbed & Mahakal Caves,West Bengal,Alipurduar,Jayanti,Alipurduar,Nature
Lepchakha Village & Rovers Point Buxa,West Bengal,Alipurduar,Rajabhatkhawa,Alipurduar,Mountain
Madarihat & Jaldapara Safari Gateway,West Bengal,Alipurduar,Madarihat,Alipurduar,Wildlife
Rajabhatkhawa Vulture Conservation Centre & Gate,West Bengal,Alipurduar,Rajabhatkhawa,Alipurduar,Wildlife
South Khairbari Leopard & Tiger Rescue Centre,West Bengal,Alipurduar,Madarihat,Alipurduar,Wildlife
Totopara Tribal Village Alipurduar,West Bengal,Alipurduar,Madarihat,Alipurduar,Heritage
Biharinath Hill (Highest Peak in Bankura),West Bengal,Bankura,Saltora,Asansol,Mountain
Bishnupur Temples,West Bengal,Bankura,Bishnupur,Kolkata,Village
Dalmadal Cannon Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Gorasankar Dual Temples Dihar Bankura,West Bengal,Bankura,Vishnupur,Bishnupur,Heritage
Jhilimili & Ranibandh Forest Rim Bankura,West Bengal,Bankura,Ranibandh,Bankura,Nature
Jor Bangla Temple (Keshta Raya) Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Joypur Forest & British Watchtower Bankura,West Bengal,Bankura,Joypur,Bishnupur,Wildlife
Joyrambati Matri Mandir Bankura,West Bengal,Bankura,Joyrambati,Arambagh,Pilgrimage
Kalachand Temple Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Lalji Temple Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Maa Mrinmoyee Temple Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Temple
Madan Mohan Temple Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Mukutmanipur,West Bengal,Bankura,Khatra,Bankura,Mountain
Panchmura Terracotta Village Bankura,West Bengal,Bankura,Panchmura,Bishnupur,Heritage
Radha Gobinda Temple Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Radha Shyam Temple Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Rasmancha Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Shyam Rai Temple Bishnupur,West Bengal,Bankura,Bishnupur,Bankura,Heritage
Susunia Hill & 4th-Century Inscription,West Bengal,Bankura,Chhatna,Bankura,Heritage
Sutan Forest & Ranibandh Lake Bankura,West Bengal,Bankura,Ranibandh,Bankura,Nature
Amar Kutir Craft Society Santiniketan,West Bengal,Birbhum,Santiniketan,Bolpur,Heritage
Bakreswar Thermal Hot Springs & Shiva Temple,West Bengal,Birbhum,Dubrajpur,Suri,Nature
Ballavpur Wildlife Sanctuary Santiniketan,West Bengal,Birbhum,Santiniketan,Bolpur,Wildlife
Fullara Shakti Peetha Labhpur,West Bengal,Birbhum,Labhpur,Bolpur,Temple
Jaydev Kenduli & Baul Mela (Ajay River),West Bengal,Birbhum,Kenduli,Bolpur,Pilgrimage
Kala Bhavana & Black House Visva-Bharati,West Bengal,Birbhum,Santiniketan,Bolpur,Heritage
Kankalitala Shakti Peetha Bolpur,West Bengal,Birbhum,Bolpur,Bolpur,Pilgrimage
Kopai River & Sonajhurir Haat Santiniketan,West Bengal,Birbhum,Santiniketan,Bolpur,Culture
Massanjore Dam & Mayurakshi Reservoir,West Bengal,Birbhum,Suri,Suri,Nature
Nalateswari Temple Nalhati,West Bengal,Birbhum,Nalhati,Rampurhat,Temple
Nandikeshwari Temple Sainthia,West Bengal,Birbhum,Sainthia,Suri,Temple
Rabindra Bhavana & Museum Santiniketan,West Bengal,Birbhum,Santiniketan,Bolpur,Museum
Sonajhuri Forest & Khoai Haat Santiniketan,West Bengal,Birbhum,Santiniketan,Bolpur,Nature
Sriniketan Rural Reconstruction Institute,West Bengal,Birbhum,Sriniketan,Bolpur,Heritage
Tarapith Temple Birbhum,West Bengal,Birbhum,Tarapith,Rampurhat,Temple
Upasana Griha & Chatimtala Santiniketan,West Bengal,Birbhum,Santiniketan,Bolpur,Heritage
Visva-Bharati & Uttarayan Complex Santiniketan,West Bengal,Birbhum,Santiniketan,Bolpur,Heritage
Baneswar Shiva Temple Cooch Behar,West Bengal,Cooch Behar,Baneswar,Cooch Behar,Temple
Baradebi Temple Cooch Behar,West Bengal,Cooch Behar,Cooch Behar,Cooch Behar,Temple
Cooch Behar Palace (Victor Jubilee Palace),West Bengal,Cooch Behar,Cooch Behar,Siliguri,Heritage
Gosanimari Rajpat & Kamtapur Ruins,West Bengal,Cooch Behar,Dinhata,Cooch Behar,Heritage
Kamteswari Temple Dinhata Cooch Behar,West Bengal,Cooch Behar,Dinhata,Cooch Behar,Temple
Madan Mohan Temple Cooch Behar,West Bengal,Cooch Behar,Cooch Behar,Cooch Behar,Temple
Rasik Beel Wetland & Bird Sanctuary,West Bengal,Cooch Behar,Tufanganj,Cooch Behar,Wildlife
Bolla Kali Temple Balurghat Dakshin Dinajpur,West Bengal,Dakshin Dinajpur,Balurghat,Balurghat,Pilgrimage
Buniadpur Municipal Eco-Park & Wetland,West Bengal,Dakshin Dinajpur,Buniadpur,Balurghat,Nature
Gangarampur (Bangarh Archaeological Site),West Bengal,Dakshin Dinajpur,Gangarampur,Balurghat,Heritage
Kali Dighi & Dhal Dighi Gangarampur,West Bengal,Dakshin Dinajpur,Gangarampur,Balurghat,Nature
Patiram Archaeological Mounds & Atrai River,West Bengal,Dakshin Dinajpur,Patiram,Balurghat,Heritage
Tapan Dighi Historic Lake Balurghat,West Bengal,Dakshin Dinajpur,Tapan,Balurghat,Nature
Ambootia Bio-Dynamic Organic Tea Estate Kurseong,West Bengal,Darjeeling,Kurseong,Siliguri,Tea Tourism
Balasun Tea Estate Kurseong,West Bengal,Darjeeling,Kurseong,Siliguri,Tea Tourism
Batasia Loop & Gorkha War Memorial,West Bengal,Darjeeling,Ghum,Darjeeling,Heritage
Bengal Natural History Museum Darjeeling,West Bengal,Darjeeling,Darjeeling,Darjeeling,Museum
Castleton Tea Estate Kurseong,West Bengal,Darjeeling,Kurseong,Siliguri,Tea Tourism
Chamong Tea Estate & Luxury Resort,West Bengal,Darjeeling,Pokhriabong,Darjeeling,Tea Tourism
Chatakpur Eco Village Senchal,West Bengal,Darjeeling,Chatakpur,Darjeeling,Nature
Chitrey Mountain Hamlet & Monastery,West Bengal,Darjeeling,Manebhanjan,Darjeeling,Nature
Darjeeling Himalayan Railway / Toy Train (UNESCO),West Bengal,Darjeeling,Darjeeling,Siliguri,Heritage
Darjeeling Mall & Chowrasta,West Bengal,Darjeeling,Darjeeling,Darjeeling,Heritage
Darjeeling Ropeway (Rangeet Valley Cable Car),West Bengal,Darjeeling,Darjeeling,Darjeeling,Adventure
Ghum Railway Station & DHR Toy Train Museum,West Bengal,Darjeeling,Ghum,Darjeeling,Heritage
Ging Tea House & Heritage Estate,West Bengal,Darjeeling,Lebong,Darjeeling,Tea Tourism
Glenburn Tea Estate Darjeeling,West Bengal,Darjeeling,Takdah,Darjeeling,Tea Tourism
Goomtee Tea Estate & Waterfall Kurseong,West Bengal,Darjeeling,Kurseong,Siliguri,Tea Tourism
Happy Valley Tea Estate Darjeeling,West Bengal,Darjeeling,Darjeeling,Darjeeling,Tea Tourism
Himalayan Mountaineering Institute & Museum (HMI),West Bengal,Darjeeling,Darjeeling,Darjeeling,Museum
Japanese Peace Pagoda & Nipponzan Myohoji Temple,West Bengal,Darjeeling,Darjeeling,Darjeeling,Monastery
Jorpokhri Wildlife Sanctuary Darjeeling,West Bengal,Darjeeling,Sukhiapokhri,Darjeeling,Wildlife
Jungpana Tea Estate Kurseong,West Bengal,Darjeeling,Kurseong,Siliguri,Tea Tourism
Kurseong,West Bengal,Darjeeling,Kurseong,Siliguri,Trek
Lamahatta Eco Park Darjeeling,West Bengal,Darjeeling,Lamahatta,Darjeeling,Nature
Latpanchar & Hornbill Sanctuary Darjeeling,West Bengal,Darjeeling,Kurseong,Siliguri,Wildlife
Lepchajagat,West Bengal,Darjeeling,Sukhiapokhri,Darjeeling,Trek
Lopchu Tea Estate & Peda Heritage Darjeeling,West Bengal,Darjeeling,Lopchu,Darjeeling,Tea Tourism
Mahananda Wildlife Sanctuary (Sukna Gateway),West Bengal,Darjeeling,Sukna,Siliguri,Wildlife
Makaibari Tea Estate Kurseong,West Bengal,Darjeeling,Kurseong,Siliguri,Tea Tourism
Manebhanjan Singalila Base Camp,West Bengal,Darjeeling,Manebhanjan,Darjeeling,Adventure
Margaret's Hope Tea Estate Kurseong,West Bengal,Darjeeling,Kurseong,Siliguri,Tea Tourism
Meghma Cloud Hamlet Singalila,West Bengal,Darjeeling,Manebhanjan,Darjeeling,Nature
Mirik Lake (Sumendu Lake),West Bengal,Darjeeling,Mirik,Siliguri,Nature
Mungpoo (Rabindranath Tagore Memorial),West Bengal,Darjeeling,Mungpoo,Darjeeling,Heritage
Observatory Hill & Mahakal Temple Darjeeling,West Bengal,Darjeeling,Darjeeling,Darjeeling,Pilgrimage
Orange Valley (Bloomfield) Tea Estate Darjeeling,West Bengal,Darjeeling,Darjeeling,Darjeeling,Tea Tourism
Padmaja Naidu Himalayan Zoological Park,West Bengal,Darjeeling,Darjeeling,Darjeeling,Wildlife
Phalut Peak (Singalila Ridge),West Bengal,Darjeeling,Manebhanjan,Darjeeling,Mountain
Rohini Mountain Viewpoint & Valley Road,West Bengal,Darjeeling,Kurseong,Siliguri,Nature
"Sandakphu Peak (11,930 Ft - Highest in West Bengal)",West Bengal,Darjeeling,Manebhanjan,Darjeeling,Mountain
Selim Hill Tea Estate & Nature Retreat,West Bengal,Darjeeling,Kurseong,Siliguri,Tea Tourism
Senchal Wildlife Sanctuary & Senchal Lake,West Bengal,Darjeeling,Jorebungalow,Darjeeling,Wildlife
Singalila National Park (Singalila Ridge),West Bengal,Darjeeling,Manebhanjan,Darjeeling,Wildlife
Singtom Tea Estate & Resort Darjeeling,West Bengal,Darjeeling,Darjeeling,Darjeeling,Tea Tourism
Sittong Orange Village & Ahaldhara Viewpoint,West Bengal,Darjeeling,Kurseong,Siliguri,Nature
Sonada Monastery & Balasun Valley,West Bengal,Darjeeling,Sonada,Kurseong,Monastery
Sourenee Tea Estate Mirik,West Bengal,Darjeeling,Mirik,Siliguri,Tea Tourism
Srikhola & Gurdum Valley Darjeeling,West Bengal,Darjeeling,Bijanbari,Darjeeling,Nature
