place_name,state_ut,district,city_or_town,nearest_major_city,category
Attawa Village (Sector 42),Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Badheri Village (Sector 41),Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Bamboo Garden,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Beant Singh Memorial,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Monument
Behlana Village,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Botanical Garden Lakes Sarangpur,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Water Body
Botanical Garden Panjab University,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Botanical Garden Sector 1,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Bougainvillea Park,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Burail Fort & Village (Sector 45),Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Butrela Village (Sector 41),Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Butterfly Park (Sector 26 Conservatory),Chandigarh,Chandigarh,Sector 26,Chandigarh,Wildlife
Cactus Park Ram Darbar,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Central Park Modern Housing Complex Manimajra,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Chandigarh College of Architecture (CCA),Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Chandigarh Golf Club,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Chandigarh Golf Range,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Recreation
Children Park Ram Darbar,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Chrysanthemum Garden,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Commemorative Stone Jawahar Park,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Monument
Commemorative Stone Sector 9,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Monument
Dadu Majra Village,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Dhanas Heritage Village,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Heritage
Dhanas Lake,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Water Body
Dream Park Sector 23,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Garden
Eiffel Tower Replica,Chandigarh,Chandigarh,Mohali,Chandigarh,Recreation
