place_name,state_ut,district,city_or_town,nearest_major_city,category
Arikamedu,Puducherry,Puducherry,Puducherry,Puducherry,Heritage
Arulmigu Manakula Vinayagar Devasthanam,Puducherry,Puducherry,Puducherry,Puducherry,Religious
Bharathi Park Puducherry,Puducherry,Puducherry,Puducherry,Puducherry,Recreation
Bharathidasan Memorial Museum,Puducherry,Puducherry,Puducherry,Puducherry,Museums & Culture
Big Banyan Tree Sivaranthagam,Puducherry,Puducherry,Villianur,Puducherry,Natural Wonders & Landscapes
Botanical Garden,Puducherry,Puducherry,Puducherry,Puducherry,Recreation
Chunnambar Boat House,Puducherry,Puducherry,Nonankuppam,Puducherry,Adventure & Nature
Eden Beach (Blue Flag Beach),Puducherry,Puducherry,Ariyankuppam,Puducherry,Beaches & Coastal
Goubert Market (Grand Bazaar),Puducherry,Puducherry,Puducherry,Puducherry,Markets & Shopping
Holy Rosary Catholic Church,Puducherry,Puducherry,Puducherry,Puducherry,Religious & Historical
Immaculate Conception Cathedral,Puducherry,Puducherry,Puducherry,Puducherry,Religious
INTACH Pondicherry Heritage Centre,Puducherry,Puducherry,Puducherry,Puducherry,Museums & Culture
Mahakavi Bharathiyar Memorial Centre,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Mahatma Gandhi Statue,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Marquis Dupleix Statue,Puducherry,Puducherry,Puducherry,Puducherry,Heritage & Historical Sites
New Light House,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Notre Dame des Anges Church,Puducherry,Puducherry,Puducherry,Puducherry,Religious & Historical
Ousteri Lake & Bird Sanctuary (Osudu Lake),Puducherry,Puducherry,Osudu,Puducherry,Wildlife & Nature
Picture Spot - Outside Heritage House,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Picture Spot - Outside Rue Romain Rolland,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
PONDY BA BEACH,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Pondy Lady Graffiti,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Pondy Marina,Puducherry,Puducherry,Puducherry,Puducherry,Nature
Puducherry Beach,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Puducherry French Colony,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Puducherry Museum,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Rock Beach,Puducherry,Puducherry,Puducherry,Puducherry,Nature
Rock Mountains - Picture Spot,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Romain Rolland Library,Puducherry,Puducherry,Puducherry,Puducherry,Museums & Culture
Sandunes Paradise Beach - Tourist Spot,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Sea Beach,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Serenity Beach,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Serenity Beach Sunrise Point,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Sri Varadaraja Perumal Temple,Puducherry,Puducherry,Puducherry,Puducherry,Religious
The Sacred Heart Basilica,Puducherry,Puducherry,Puducherry,Puducherry,Religious
Veerampattinam Coastal Village & Beach,Puducherry,Puducherry,Veerampattinam,Puducherry,Beaches & Coastal
White Sand Beach,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
White Town,Puducherry,Puducherry,Puducherry,Puducherry,Cultural
Auroville Matrimandir,Puducherry,Puducherry,Auroville,Puducherry,Spiritual
Promenade Beach (Rock Beach) Puducherry,Puducherry,Puducherry,Puducherry,Puducherry,Beach
Puducherry City,Puducherry,Puducherry,Puducherry,Puducherry,Heritage
Sri Aurobindo Ashram,Puducherry,Puducherry,Puducherry,Puducherry,Heritage
Basilica of the Sacred Heart of Jesus,Puducherry,Puducherry,Puducherry,Puducherry,Heritage
Basilica of Sacred Heart of Jesus,Puducherry,Puducherry,Puducherry,Puducherry,Heritage
