city_id,city_name,state_name,total_verified_activities,adventure_activity_count,water_activity_count,wildlife_activity_count,nature_activity_count,cultural_activity_count,spiritual_activity_count,leisure_activity_count,recreational_activity_count,activity_category_count,activity_subcategory_count,tourism_type_count,activity_count_score,activity_diversity_score,activity_category_score,activity_experience_score,activity_seasonality_score,activity_recognition_score,overall_travel_activity_score,data_completeness_percentage,score_confidence
CT0001,Port Blair,Andaman and Nicobar Islands,3,1,1,0,0,1,0,0,0,3,3,3,81.9,71,66,65,73.33,95,76.21,100,High
CT0002,Adoni,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0003,Amaravati,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0004,Anantapur,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0005,Chandragiri,Andhra Pradesh,1,0,0,0,0,1,0,0,0,1,1,1,50.95,37,32,55,87.5,100,56.04,100,High
CT0006,Chittoor,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0007,Dowlaiswaram,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0008,Eluru,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0009,Guntur,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0010,Kadapa,Andhra Pradesh,1,1,0,0,0,0,0,0,0,1,1,1,50.95,37,32,55,47.5,95,51.29,100,High
CT0011,Kakinada,Andhra Pradesh,1,0,0,1,0,0,0,0,0,1,1,1,50.95,37,32,55,87.5,95,55.29,100,High
CT0012,Kurnool,Andhra Pradesh,1,1,0,0,0,0,0,0,0,1,1,1,50.95,37,32,55,87.5,95,55.29,100,High
CT0013,Machilipatnam,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0014,Nagarjunakoṇḍa,Andhra Pradesh,1,0,0,0,0,1,0,0,0,1,1,1,50.95,37,32,55,47.5,100,52.04,100,High
CT0015,Rajahmundry,Andhra Pradesh,1,0,1,0,0,0,0,0,0,1,1,1,50.95,37,32,55,47.5,95,51.29,100,High
CT0016,Srikakulam,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0017,Tirupati,Andhra Pradesh,1,0,0,0,0,0,1,0,0,1,1,1,50.95,37,32,55,87.5,85,53.79,100,High
CT0018,Vijayawada,Andhra Pradesh,1,0,1,0,0,0,0,0,0,1,1,1,50.95,37,32,55,87.5,95,55.29,100,High
CT0019,Visakhapatnam,Andhra Pradesh,2,1,0,0,0,0,0,1,0,2,2,2,69.05,54,49,65,80,90,66.11,100,High
CT0020,Vizianagaram,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0021,Yemmiganur,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0022,Itanagar,Arunachal Pradesh,1,0,0,0,1,0,0,0,0,1,1,1,50.95,37,32,55,87.5,95,55.29,100,High
CT0023,Dhuburi,Assam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0024,Dibrugarh,Assam,1,0,0,0,0,1,0,0,0,1,1,1,50.95,37,32,55,87.5,95,55.29,100,High
CT0025,Dispur,Assam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0026,Guwahati,Assam,3,0,1,0,0,0,1,1,0,3,3,3,81.9,71,66,90,87.5,91.67,79.62,100,High
CT0027,Jorhat,Assam,2,0,0,1,0,1,0,0,0,2,2,2,69.05,54,49,80,47.5,90,64.36,100,High
CT0028,Nagaon,Assam,1,0,0,1,0,0,0,0,0,1,1,1,50.95,37,32,55,47.5,95,51.29,100,High
CT0029,Sivasagar,Assam,1,0,0,0,0,1,0,0,0,1,1,1,50.95,37,32,55,47.5,100,52.04,100,High
CT0030,Silchar,Assam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0031,Tezpur,Assam,1,1,0,0,0,0,0,0,0,1,1,1,50.95,37,32,55,47.5,95,51.29,100,High
CT0032,Tinsukia,Assam,1,0,0,1,0,0,0,0,0,1,1,1,50.95,37,32,55,47.5,95,51.29,100,High
CT0033,Ara,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0034,Barauni,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0035,Begusarai,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0036,Bettiah,Bihar,1,0,0,1,0,0,0,0,0,1,1,1,50.95,37,32,55,47.5,95,51.29,100,High
CT0037,Bhagalpur,Bihar,1,0,0,1,0,0,0,0,0,1,1,1,50.95,37,32,55,47.5,95,51.29,100,High
CT0038,Bihar Sharif,Bihar,1,0,0,0,0,1,0,0,0,1,1,1,50.95,37,32,55,47.5,100,52.04,100,High
CT0039,Bodh Gaya,Bihar,1,0,0,0,0,0,1,0,0,1,1,1,50.95,37,32,55,87.5,85,53.79,100,High
CT0040,Buxar,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0041,Chapra,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0042,Darbhanga,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0043,Dehri,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
CT0044,Dinapur Nizamat,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,100,High
